Site;Domaine;Activité/Equipement;Type;Propriétaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Date début;Date fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
immeuble SABLUX;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Jet d'eau;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Kaffrine;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Kaolack E10;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Kaolack FH;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Kebemer;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Kebemer FH;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Kedougou CI;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Kolda FH ;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Linguere;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Louga CI;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Louga FH;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Matam CI;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Mbour FH;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Mbour Grand Mbour;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Médina;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Ouakam;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Ourossogui ;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
Patte d'Oie;Intervention;GE;2;;Rupture de flexible lors du dépotage du carburant;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Note faite aux pétroliers pour l'utilisation des flexibles solides en état de fonctionnement lors du dépotage

Vérification des points de raccordement avant le demarrage du dépotage

Equipement des sites de bacs de rétention en cas de déversement dans les sites Sonatel lors du dépotage";Préventif;Manuelle;;;;;;;1;3;3;1
