SITE;Domaine activité;Activité/ Equipement;Type ;Propriétaire;Danger;Mode de fonctionnement;Menace;Lieu;Manifestation;description du contrôle;Type du contrôle;Méthode du contrôle;Description du plan d'action ;Porteur plan d'action ;date de début du plan d'action ;date de fin du plan d'action ;Avancement du plan d'action;statut du plan d'action ;Type de contrôle;Méthode de contrôle;Probabilité;Gravité;Criticité;Maturité
"Camayenne
NODAL";Toutes les activités;Toutes les activités;1;;Fauteuils défectueux;A;Risque de troubles musculo squelettiques;Poste de travail;Mal de dos;Tous les fauteuils défectueux ont fait l'objet de remplacement.;Protection;Manuel;;;;;;;;;1;2;;3
"Camayenne
NODAL";hygiène;Toutes les activités;1;;Manque d'hygiène dans les toilettes;A;Risque biologique;Environnement immédiat;Légionellose, infection bactérienne, infection mycosique;"Nettoyage systématique  des toilettes par les  techniciens  de surface  2fois par jour. 

";Protection;Manuel;;;;;;;;;1;2;;3
"Camayenne
NODAL";Toutes les activités;Toutes les activités;1;Alhassane BALDE;Position assise constante;N;Risque de fatigue visuelle;Poste de travail;Maux de tête, douleurs occulaires;;;;Faire une sensibilisation pour inciter les agents à se lever après chaque 2h.;DTR/RH ;15-oct;31/07/2019;;non soldé ;Prévention;manuel ;2;1;;3
"Camayenne
NODAL";Toutes les activités;Toutes les activités;1;;Poussières;N;Risque de nuisance olfactive ;Poste de travail;"troubles respiratoires,
réactions allergiques,
Asthme
Inconfort";La devanture du site a été bétonnée;Protection;Manuel;;;;;;;;;2;1;;3
"Camayenne
NODAL";santé;Toutes les activités;1;;Tabagisme passif (personnes fument dans les locaux) ;A;Risque biologique;Environnement immédiat;Troubles respiratoires;"Le site est NON fumeur.
Affichage de pictogramme sur l'interdiction de fumée";Prévention;Manuel;;;;;;;;;1;2;;3
"Camayenne
NODAL";intervention;Salles techniques;2;;Absence de signalétique sécurité;A;Risque d'accident  ( chute de plain pied , etouffement );Environnement immédiat;Asphixie, troubles respiratoires;"Il existe des signalétiques "" blocs autonomes d'éclairage et de sécurité"" au niveau du site.";Prévention;Manuel;;;;;;;;;1;2;;3
"Camayenne
NODAL";Intervention;Salles techniques;2;;Chute de la foudre;A;Risque d'incendie (court circuit);Environnement immédiat;Brûlures;"Des paratonerres sont installé au niveau du site pour empecher la foudre de taper les équipements.
Des parafoudres pour amorcer la tension du foudre vers le sol (pour éviter la destruction) les équipements techniques";Prévention;Manuel;;;;;;;;;1;2;;3
"Camayenne
NODAL";Groupe Eléctrogene;Groupe Eléctrogène;2;;Odeur du carburant lors du remplissage des cuves (Echappement de gaz);N;Risque de nuisance olfactive ;Environnement immédiat;Inconfort;Existence d'équipement de protection individuelle ;Prévention;Manuel;;;;;;;;;1;1;;2
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
